features	levels	decision	cuts	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	stabilityLHS	stabilityRHS	cut1	cut2	cut3	cut4	supportRatioLHS	supportRatioRHS	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	cut5
LTC4S,X00000058729	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33402	1	1	-0.464	-2.4671			0.3	0.3	1	Inf	1	-Inf:Inf	
RBM46,MAOA	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.33333	1	1	-1.2248	0.2298			0.3	0.3	1	Inf	1	-Inf:Inf	
TMX2,HEY1	3,1	Prot	value>cut,value<cut	6	6	1	0.17024	0.32061	1	1	3.24	-2.03627			0.3	0.3	1	Inf	1	-Inf:Inf	
A1BG,THRB	3,1	Prot	value>cut,value<cut	7	7	1	0.19104	0.37149	1	1	-1.42887	-4.87306			0.35	0.35	1	Inf	1	-Inf:Inf	
VSTM1,TMEM38A	1,1	Prot	value<cut,value<cut	6	6	1	0.17959	0.35557	1	1	4.38464	2.788			0.3	0.3	1	Inf	1	-Inf:Inf	
LOC719667,KRTAP29.1	3,2	NonProt	value>cut,cut<value<cut	6	6	1	0.17143	0.36029	1	1	4.964	-4.98367	-1.32433		0.31579	0.31579	1	Inf	1	-Inf:Inf	
KRTAP29.1,HCN2	2,3	NonProt	cut<value<cut,value>cut	6	6	1	0.1754	0.35607	1	1	-4.99375	-2.3315	-2.1436		0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC719667,X00000060253	3,2	NonProt	value>cut,cut<value<cut	6	6	1	0.17143	0.35294	1	1	4.964	1.2214	2.0577		0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC701920,X00000060253	1,2	NonProt	value<cut,cut<value<cut	6	6	1	0.18095	0.35839	1	1	5.2525	1.1545	2.03563		0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC701920,TARM1	1,3	NonProt	value<cut,value>cut	7	7	1	0.20645	0.42713	1	1	5.25863	2.0299			0.36842	0.36842	1	Inf	1	-Inf:Inf	
X00000053274,X00000037843	1,2	NonProt	value<cut,cut<value<cut	6	6	1	0.17857	0.36274	1	1	-0.36898	2.473	2.79082		0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC701920,LILRB1	1,3	NonProt	value<cut,value>cut	6	6	1	0.17551	0.36204	1	1	5.25864	7.75086			0.31579	0.31579	1	Inf	1	-Inf:Inf	
F2RL3,X00000059995	3,1	NonProt	value>cut,value<cut	6	6	1	0.16984	0.36765	1	1	-1.9589	-0.3777			0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC701920,A1BG	1,1	NonProt	value<cut,value<cut	6	6	1	0.17714	0.36127	1	1	5.2619	-2.0939			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TNNT2,LOC701920	3,1	NonProt	value>cut,value<cut	6	6	1	0.17143	0.34951	1	1	-0.54732	5.2517			0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC701920,X00000056965	1,1	NonProt	value<cut,value<cut	6	6	1	0.17891	0.36998	1	1	5.26236	-3.4538			0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC709056,X00000059995	1,1	NonProt	value<cut,value<cut	6	6	1	0.17143	0.35294	1	1	-0.4557	-0.2925			0.31579	0.31579	1	Inf	1	-Inf:Inf	
KIR3DL0,RBM46	1,1	NonProt	value<cut,value<cut	6	6	1	0.17143	0.35376	1	1	2.855	-2.506			0.31579	0.31579	1	Inf	1	-Inf:Inf	
STARD8,RBM46	3,1	NonProt	value>cut,value<cut	6	6	1	0.17143	0.34314	1	1	1.4296	-2.53965			0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000037843,X00000064715	1,3	Prot	value<cut,value>cut	6	6	1	0.17048	0.31965	1	1	2.46836	1.9832			0.3	0.3	1	Inf	1	-Inf:Inf	
TMX2,LOC701920	3,3	Prot	value>cut,value>cut	6	6	1	0.18479	0.35537	1	1	3.23642	5.50417			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000064715,HCN2	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.33333	1	1	1.789	-2.7443			0.3	0.3	1	Inf	1	-Inf:Inf	
TRIM16,USP31	3,1	Prot	value>cut,value<cut	6	6	1	0.18095	0.36601	1	1	-1.01667	0.15887			0.3	0.3	1	Inf	1	-Inf:Inf	
TMX2,SDK2	3,3	Prot	value>cut,value>cut	6	6	1	0.17738	0.3394	1	1	3.2405	0.59215			0.3	0.3	1	Inf	1	-Inf:Inf	
KIR3DL0,A1BG	1,1	NonProt	value<cut,value<cut	7	7	0.96875	0.19841	0.40329	1	1	2.83075	-2.03638			0.36842	0.36842	1	Inf	1	-Inf:Inf	
X00000037843,X00000053012	3,1	NonProt	value>cut,value<cut	7	6	0.96429	0.19147	0.3894	1	1	2.8718	2.56612			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
X00000053012,X00000060253	1,1	NonProt	value<cut,value<cut	6	6	1	0.17143	0.34314	1	1	2.5698	1.2214			0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000064715,KRTAP29.1	2,2	NonProt	cut<value<cut,cut<value<cut	6	6	1	0.17857	0.35703	1	1	0.05182	1.91048	-5.00775	-2.83012	0.31579	0.31579	1	Inf	1	-Inf:Inf	
LOC709056,SDK2	1,1	NonProt	value<cut,value<cut	6	6	1	0.16984	0.35376	1	1	-0.41223	-0.7612			0.31579	0.31579	1	Inf	1	-Inf:Inf	
KIR3DL0,KRTAP29.1	1,2	NonProt	value<cut,cut<value<cut	6	6	1	0.18571	0.37091	1	1	2.9035	-5.0055	-4.46825		0.31579	0.31579	1	Inf	1	-Inf:Inf	
KRTAP29.1,A1BG	2,1	NonProt	cut<value<cut,value<cut	6	6	1	0.17143	0.35294	1	1	-5.0055	-4.5985	-1.9115		0.31579	0.31579	1	Inf	1	-Inf:Inf	
KRTAP29.1,MYH15	3,1	Prot	value>cut,value<cut	6	6	1	0.17619	0.3341	1	1	-0.5699	-2.36482			0.3	0.3	1	Inf	1	-Inf:Inf	
MYH15,CTH	1,2	Prot	value<cut,cut<value<cut	6	6	1	0.17143	0.32748	1	1	-2.3565	-1.4064	-0.78203		0.3	0.3	1	Inf	1	-Inf:Inf	
VSTM1,TMX2	1,3	Prot	value<cut,value>cut	6	6	1	0.17725	0.34498	1	1	4.38272	3.24089			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,X00000064369	1,3	Prot	value<cut,value>cut	6	6	1	0.18034	0.35017	1	1	2.47042	3.29222			0.3	0.3	1	Inf	1	-Inf:Inf	
