Sample ID;Group;Vaccine Description;RhCMV Status;vaccine route of inoculation;protectionStatus;AnimalID;Time_Point;Sex;Age;Study Event;PAXgene Sample Collection Date
O2_28808_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28808;D129;male;;D3 of boost;
O2_28808_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28808;D133;male;;D7 of boost;
O2_28808_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28808;PreChal (W88);male;;PreChallenge;
O3_28810_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28810;D0;male;;baseline;
O3_28810_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28810;D3;male;;D3 of prime;
O3_28810_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28810;D7;male;;D7 of prime;
O3_28810_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28810;D126;male;;D0 of boost;
O3_28810_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28810;D129;male;;D3 of boost;
O3_28810_W18_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28810;D133;male;;D7 of boost;
O3_28810_W88_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;NonProt;28810;PreChal (W88);male;;PreChallenge;
O4_28885_W0_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28885;D0;male;;baseline;
O4_28885_W0_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28885;D3;male;;D3 of prime;
O4_28885_W0_D7;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28885;D7;male;;D7 of prime;
O4_28885_W18_D0;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28885;D126;male;;D0 of boost;
O4_28885_W18_D3;O;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;Oral;Prot;28885;D129;male;;D3 of boost;
